评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3891819291,我不是王二十二,女,海外,150,475,605,主要是田老师的表情非常自然，很正经，一点都不猥琐,4171,2021-03-06 08:32 
https://weibo.cn//u/3745010812,默契无法伪造ZZ,男,上海,2177,143,211,不愧为武朝头号赘婿,3220,2021-03-06 08:34 
https://weibo.cn//u/2675052744,朵麦子,女,陕西,35,96,626,汤唯前男友，现在懂了,1289,2021-03-06 08:30 
https://weibo.cn//u/2639143097,wuji2639143097,男,其他,4641,5018,473,     举报             赞[0]         回复             3分钟前 来自网页,0,2021-03-06 15:08
https://weibo.cn//u/1455233664,桥茵茵,女,广东,958,389,122,夏洛特烦恼的王老师,0,2021-03-06 15:07
https://weibo.cn//u/7073048042,咦呀呀嘿嘿,女,其他,67,126,1,他两是不是有点什么？,0,2021-03-06 15:06
https://weibo.cn//shilemeng9561,濛乐乐sss,女,海外,904,657,3043,@萌嗒啦不萌,0,2021-03-06 14:58
https://weibo.cn//u/1892058297,夏斯咏姗,女,上海,439,358,623,回复@打饱嗝的关建国:还用你说,0,2021-03-06 14:57
https://weibo.cn//u/5639470436,喜欢雨的chen,女,天津,6540,600,596,回复@小思的海盐冰淇淋:,0,2021-03-06 14:48
https://weibo.cn//eason215,-總有個人要先走-,女,其他,11076,1400,1057,回复@默契无法伪造ZZ:哈哈哈哈哈,0,2021-03-06 14:43
https://weibo.cn//u/7335489426,凉皮多放辣椒和芝麻酱,女,其他,211,144,23,回复@掉落下来的星球:他俩都是,0,2021-03-06 14:43
https://weibo.cn//u/5261977181,QQ大冰Plus,男,河南,43,15,38,这是卖假药那个吗,0,2021-03-06 14:41
https://weibo.cn//u/5732564653,芭拉金刚,女,四川,263,134,58,回复@傅鞠家的独角兽:啊啊啊啊忍很久呐！,0,2021-03-06 14:39
https://weibo.cn//u/6106585604,天使小北野武,女,其他,37,39,5,毕竟是汤唯的前男友，自带光环,0,2021-03-06 14:37
https://weibo.cn//u/3952146254,爷就是一名辞职捻,女,海外,4397,2360,311,回复@朵麦子:@大脸鲈鱼丝 ？,0,2021-03-06 14:34
