评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//weitianxia,微天下,男,北京,167354,1177,27250541,捷克向中国“求药”，舆论为何翻车了？,982,2021-03-04 10:10
https://weibo.cn//weitianxia,微天下,男,北京,167354,1177,27250557,中国新冠疫苗靠什么赢得了国际信任？ ,241,2021-03-04 11:01
https://weibo.cn//u/3317131355,cneyilin,女,其他,236,55,366,滚,45641,2021-03-04 06:36
https://weibo.cn//tjhz32,双子星HZX,男,天津,691,148,231,回复@林德伯格:国家同意给疫苗了,0,2021-03-06 13:50 
https://weibo.cn//u/1885396203,夏欢_Sharon,女,海外,962,280,374,回复@一级女巫哈:难得糊涂,0,2021-03-06 12:29 
https://weibo.cn//u/2788988447,地球不爆炸人心会爆炸,男,其他,0,375,123,贱不贱,0,2021-03-06 11:01 
https://weibo.cn//u/7065623935,萌剧外外传,女,其他,79,417,88,回复@我是盐酸呀:也许你不是，但你得允许别人是。,0,2021-03-06 09:49 
https://weibo.cn//u/3275179955,伸手如怀中,男,重庆,7,652,142,这特么是不要脸到什么程度了,0,2021-03-06 08:27 
https://weibo.cn//u/1048779004,旗鸣行508,男,河南,1336,501,160,回复：中国不养狼！,0,2021-03-06 07:34 
https://weibo.cn//u/2693367394,人间炸鸡,女,广东,2377,339,348,回复@丑恶永痘肌垃圾垃圾垃圾:原来不要脸可以到这种程度开眼界了,0,2021-03-06 03:51 
https://weibo.cn//u/5580701259,阿菜考研努力中,男,浙江,23,187,84,回复@本宝宝大帅比诶:嘉兴在打了，有什么是么,0,2021-03-06 01:02 
https://weibo.cn//u/6990919360,尔曹万古流,男,江苏,14,119,8,以德报怨，何以报德,0,2021-03-05 22:41
https://weibo.cn//wjc19921011,辰小耀,男,湖北,4036,682,946,滚,0,2021-03-05 22:11
https://weibo.cn//u/3153356565,洛克贵族,男,山东,37,93,6,回复@没脚的胖胖:呵呵,0,2021-03-05 19:59
https://weibo.cn//u/5747026083,阿泽正,男,广东,12,130,68,回复@我会健康发财的:同意同意,0,2021-03-05 17:58
https://weibo.cn//sbm98,硅基帝国大使,男,海外,3975,1271,126,回复@硅基帝国大使:不要给台湾人在大陆一点生存空间,0,2021-03-05 17:31
https://weibo.cn//sbm98,硅基帝国大使,男,海外,3975,1271,126,中国大陆对台湾人也不能给,0,2021-03-05 17:30
https://weibo.cn//u/3973398610,宁宁想念你们,女,广东,4786,38,78,没门～,0,2021-03-05 17:29
https://weibo.cn//u/6023958768,七牵de猫,男,广东,782,743,154,回复@地狱之伞兵:公知继续 看你表演,0,2021-03-05 15:27
https://weibo.cn//u/2901758385,天真_灵魂,男,其他,53,317,336,以德报怨，何以报德？,0,2021-03-05 13:44
https://weibo.cn//u/5586431262,戏如人生5586431262,男,青海,16,82,2,先把议长处绞刑。免费给！,0,2021-03-05 13:35
https://weibo.cn//u/7508873448,冰雨辉dn,男,山东,4,21,2,以德报怨，何以报德？,0,2021-03-05 12:14
https://weibo.cn//u/6860059211,我是盐酸呀,女,湖北,31,59,30,回复@萌剧外外传:哈哈，人生的意义只在于结婚吗？,0,2021-03-05 12:09
https://weibo.cn//u/1743209632,阳光海浪和鱼,男,上海,208,43,42,回复@懒猫猫猫猫撒娇:去过捷克就能感受到这个国家对于我们的那种敌意了 说不出来但是感受很明显,0,2021-03-05 12:04
https://weibo.cn//u/1743209632,阳光海浪和鱼,男,上海,208,43,42,回复@yuying3125:现在苏联垮了 各种上不了台面的三流国家就要刷存在啊 就是当欧盟强国的狗 主人让咬谁就咬谁,0,2021-03-05 12:02
https://weibo.cn//u/1743209632,阳光海浪和鱼,男,上海,208,43,42,回复@我爱眼泪袋子:北欧几个脑子都不太正常 不做比较的,0,2021-03-05 12:00
https://weibo.cn//u/5869482572,妖精的直发,女,江西,450,122,45,回复@地狱之伞兵:你可真能杠啊,0,2021-03-05 11:28
https://weibo.cn//u/6275209541,叮当猪和小齿兔,女,广东,1428,690,88,回复@Dimitri78893:那也得尝试一下，一句不救就使多少人失去希望。而且在我看来，人命面前，国家种族得往后排。,0,2021-03-05 11:12
https://weibo.cn//u/5376307374,浙江股侠宋玉,女,浙江,2538,661,81466,回复@微天下:棒棒棒👍🏻 👍🏻👍🏻👍🏻👍🏻 👍🏻,0,2021-03-05 10:42
https://weibo.cn//u/5332522657,单衣啊单衣,女,河南,125,3,236,不给,0,2021-03-05 10:13
https://weibo.cn//u/2608158071,一级女巫哈,女,辽宁,1201,1641,602,@夏欢_Sharon,0,2021-03-05 10:08
https://weibo.cn//u/5601953831,疯了的包子_,男,浙江,20,86,51,据说已经同意了？？我真是去年买了个表，谁同意的？能拉出去毙了吗？,0,2021-03-05 10:01
https://weibo.cn//u/2647762951,历史的见证与记录者,男,浙江,200,220,166,双簧演的不错，一个负责骂人，一个负责求助,0,2021-03-05 09:29
https://weibo.cn//bettertorrow,振益的围脖,男,北京,337,264,156,去报蔡蝇蚊的大腿，从未见过如此厚颜无耻之徒！,0,2021-03-05 09:28
https://weibo.cn//u/5557887005,阿丙_25107,男,四川,787,9,81,中国🇨🇳,0,2021-03-05 09:27
https://weibo.cn//u/2685500934,Manchester昊者,男,上海,1498,244,937,霸气拒绝！,0,2021-03-05 09:24
https://weibo.cn//u/1532892365,九紫枟灷,男,河南,1085,154,87,十倍价格卖吧，这样的国家没有优惠,0,2021-03-05 09:19
https://weibo.cn//u/5330245138,万保招金83020,男,其他,16,150,45,不卖。,0,2021-03-05 09:17
https://weibo.cn//u/2582910855,老久666888,男,浙江,235,77,180,反对给,0,2021-03-05 09:12
https://weibo.cn//u/3916710300,酒心儿小鱼干,女,其他,25,420,100,问台湾要吧,0,2021-03-05 09:11
https://weibo.cn//u/6433020813,房天下渭南特价房,女,北京,13177,83,270,【,0,2021-03-05 09:10
https://weibo.cn//u/2283633073,开心过客121,男,河南,54,76,100,回复@微天下:给还是要给的，只是数量和价钱必须控制,0,2021-03-05 09:08
https://weibo.cn//333051158,现代上将,男,上海,3894,933,566,请关注广大唐小僧匹凸匹案受害难民！！,0,2021-03-05 09:07
https://weibo.cn//u/2735054397,大内蒙小鲜肉,男,北京,717,160,299,回复@微天下:不卖贵点都对不起他那张嘴,0,2021-03-05 09:07
https://weibo.cn//u/6698901720,一只卡鸭啊,男,湖北,27,127,15,回复@本宝宝大帅比诶:对内严防，做到你想感染都没机会。,0,2021-03-05 09:01
https://weibo.cn//u/1827940682,老李来了哦,男,河南,38,11,19,非洲鬣狗疫苗，去那要吧,0,2021-03-05 08:59
https://weibo.cn//u/1775315962,烘培小白大E,男,广东,1745,813,228,给总统九族一人一支吧,0,2021-03-05 08:56
https://weibo.cn//u/1880951123,桀骜的自由,男,北京,8260,98,682,价高者得，该卖卖，有钱不赚有意思吗？,0,2021-03-05 08:55
https://weibo.cn//u/5149791629,你们别再打啦,男,其他,198,120,28,回复@夜幕上嵌着的是我:没乱说嘛,0,2021-03-05 08:35
https://weibo.cn//u/2035136191,前尘往事成云烟V,男,广西,0,3,43,咱不差钱，不赚捷克的钱了,0,2021-03-05 08:35
https://weibo.cn//u/2569407403,零加薪,男,广东,163,19,47,回复@微天下:唉～孙子要出国留学…自己退休了还要出国养老…咳咳，做人留一线，日后好相见…整一整西装，提高音呗:中国是负责任大国，要有大国风范，不会坐视不理，给jk援助50万剂🤓,0,2021-03-05 08:33
https://weibo.cn//u/7385550739,礼拜五2020,男,北京,363,43,18,我们产能不足,0,2021-03-05 08:32
https://weibo.cn//u/5028893835,鸭梨爱俊,女,山东,142,103,60,发小在布拉格留学，希望能先给滞留在捷克的中国人打打疫苗，那边可太严重了……,0,2021-03-05 08:27
https://weibo.cn//u/5926697996,獐狼恶霸呀,男,其他,187,250,163,回复@小逗丁儿86:不是对针对你，是当时捷克的做法太让人气愤,0,2021-03-05 08:22
https://weibo.cn//u/2946930674,猜不透Alex,男,福建,391,637,217,不要给啊 或者拒绝给布拉格,0,2021-03-05 08:19
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:首先提出政府给疫苗假设的是你，我是顺着你的假设为政府这种做法做出解释，你却在这头脑一热用激烈的言辞把我打成不在乎国家尊严和挑拨离间的人,0,2021-03-05 08:15
https://weibo.cn//u/2521917935,作为普通用户只能改一次名字,男,北京,266,131,322,回复@恰饭饭呢:别国政治都拿中国来当拉踩筹码是中国强大的证明,0,2021-03-05 08:14
https://weibo.cn//serendipity73,百诺恩股东大S,女,其他,1075,308,10254,可以来买,0,2021-03-05 08:13
https://weibo.cn//u/6007341235,艳阳天与浮躁,男,其他,11,18,9,回复@ggcoolli86962:我都那样解释了你竟然还是这样的语气回复我，我自问自己一向左派立场也会被你打成挑拨离间，真不懂你的阅读理解怎么会这么差，明明我说了我作为普通公民希望对捷克请求不理不睬，你却依旧说我想把疫苗给别人，特别是看到你说我要求政府这么干还加个感叹号真的让我觉得好笑,0,2021-03-05 08:12
