,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
1,J8800mSit,宣讲家网站,男,北京,530,295332,宣讲家网站:【陈薇团队：#新型冠状病毒抗体研究取得重大突破#】据解放军报北京6月24日电，我国科学家在新型冠状病毒抗体研究中取得重大突破。由中国工程院院士、军事科学院军事医学研究院研究员陈薇领衔的团队，发现了首个靶向刺突蛋白N端结构域的高效中和单克隆抗体。北京时间6月22日22:00，国际顶级学术期刊《科学》在线发表了该项研究结果。这也是陈薇团队研发的腺病毒载体重组新冠疫苗在全球率先进入Ⅱ期临床试验后，取得的又一项世界级科研成果。（解放军报） [组图共2张] 原图 ,无,2020/6/24 16:08,360安全浏览器,1,0,0,无,"抗体,团队,取得,研究,疫苗",1—743
2,J8e1ytCvv,看金牛,男,四川,90,451317,看金牛:#天下新闻汇#1、近日，国际顶级学术期刊《科学》在线发表重要成果，中国工程院院士陈薇团队发现首个靶向刺突蛋白N端结构域的高效中和单克隆抗体！这为新冠治疗提供了强效候选药物，也为其他药物设计提供了新路径。这也是陈薇院士团队研发的腺病毒载体重组新冠疫苗在全球率先进入Ⅱ期临床试验后，取得的又一项世界级科研成果！2、6月24日，俄罗斯举行纪念卫国战争胜利75周年阅兵活动，200余件武器装备、75架飞机和直升机亮相红场。此外，#解放军仪仗队亮相红场阅兵#。3、6月24日，下午两点半左右内蒙古锡林浩特出现大型气旋景象。巨大的风柱连接天地，狂暴旋风形成的气流、云团不断扭曲变换形状。气旋是指北(南)半球，大气中水平气流呈逆(顺)时针旋转的大型涡旋。在同高度上，气旋中心的气压比四周低，又称低压。 ,无,2020/6/25 7:29,iPhone客户端,2,0,0,无,"气旋,新冠,提供,气流,团队",901-1931
3,JbJkGxiur,山东高速交警青州大队,男,山东,309,12046,山东高速交警青州大队:【#华春莹无奈地笑了#：我们需要靠偷？太荒谬了】今天，#华春莹回应所谓中国想窃取美国疫苗#时说：美方一些官员说“中国发动网络攻击”，想“窃取美国的疫苗”。太荒谬了！大家都知道，中国在新冠疫苗研发方面处于领先地位，我们有一流的科研人员，我们不需要去靠“偷”来取得领先地位。 ,无,2020/7/18 8:42,HUAWEI P30 Pro,1,0,4,无,"疫苗,中国,窃取,领先地位,美国",1932-4791
4,JbJqYn2AB,今日女报,女,湖南,1179,326596,今日女报:【#华春莹无奈地笑了#：我们需要靠偷？太荒谬了】今天，#华春莹回应所谓中国想窃取美国疫苗#时说：美方一些官员说“中国发动网络攻击”，想“窃取美国的疫苗”。太荒谬了！大家都知道，中国在新冠疫苗研发方面处于领先地位，我们有一流的科研人员，我们不需要去靠“偷”来取得领先地位。 ,无,2020/7/18 8:57,iPhone客户端,2,0,0,无,"疫苗,中国,窃取,领先地位,美国",4792-5667
5,JbJr08pbI,正义南康,男,江西,1236,31619,正义南康:【#华春莹无奈地笑了#：我们需要靠偷？太荒谬了】今天，#华春莹回应所谓中国想窃取美国疫苗#时说：美方一些官员说“中国发动网络攻击”，想“窃取美国的疫苗”。太荒谬了！大家都知道，中国在新冠疫苗研发方面处于领先地位，我们有一流的科研人员，我们不需要去靠“偷”来取得领先地位。 ,无,2020/7/18 8:57,微博国际版,14,3,7,无,"疫苗,中国,窃取,领先地位,美国",
6,JbJtenuqx,中国共青团杂志,男,北京,2406,22085,中国共青团杂志:#全球携手战疫#【#华春莹无奈地笑了#：我们需要靠偷？太荒谬了】昨天，#华春莹回应所谓中国想窃取美国疫苗#时说：美方一些官员说“中国发动网络攻击”，想“窃取美国的疫苗”。太荒谬了！大家都知道，中国在新冠疫苗研发方面处于领先地位，我们有一流的科研人员，我们不需要去靠“偷”来取得领先地位。 ,无,2020/7/18 9:03,Android,1,1,1,无,"中国,疫苗,窃取,领先地位,美国",
7,JbJvLgPfU,华亭检察,男,甘肃,918,23130,华亭检察:【#华春莹无奈地笑了#：我们需要靠偷？太荒谬了】今天，#华春莹回应所谓中国想窃取美国疫苗#时说：美方一些官员说“中国发动网络攻击”，想“窃取美国的疫苗”。太荒谬了！大家都知道，中国在新冠疫苗研发方面处于领先地位，我们有一流的科研人员，我们不需要去靠“偷”来取得领先地位。 ,无,2020/7/18 9:09,HUAWEI Mate 30 5G,3,0,6,无,"疫苗,中国,窃取,领先地位,美国",
8,JbOrOD3XY,贵州长安网,男,贵州,412,77992,贵州长安网:【#华春莹无奈地笑了#：我们需要靠偷？太荒谬了】今天，#华春莹回应所谓中国想窃取美国疫苗#时说：美方一些官员说“中国发动网络攻击”，想“窃取美国的疫苗”。太荒谬了！大家都知道，中国在新冠疫苗研发方面处于领先地位，我们有一流的科研人员，我们不需要去靠“偷”来取得领先地位。 ,无,2020/7/18 21:43,HUAWEI P20,5,1,1,无,"疫苗,中国,窃取,领先地位,美国",
9,JcpYgl5hG,奋斗者陈宇翔,男,云南,189,450,奋斗者陈宇翔:据公开消息，我国已经有多个技术路线和研发主体（或联合体)的疫苗进入二期或三期临床阶段，考虑到临床应用的紧迫性，若数据正常，距离获准上市已然不远（个人判断6-12个月内）；换个视角，目前新冠疫情仍全球肆虐，中国疫苗某种程度代表国家形象，本着对中国和世界人民负责的态度，非常时期更需要经过审慎严苛的许可流程，个人判断可能这会适度影响疫苗上市的时间。综上，我对我们国家疫苗研发和生产能力充满自信，相信全民接种为期不远。 ,无,2020/7/22 21:15,iPhone客户端,1,0,0,无,"疫苗,中国,临床,上市,国家",
10,JcreSfbQH,金丝狸猫京剧乐园,男,其他,2017,23962,金丝狸猫京剧乐园:蓬佩奥下达最后“通牒”，疫苗先给美国用，专家：中国没这义务 19:51现在，2020年已经过去一半了，在这上半年里，不单单中国，全世界都经历了太多太多。就拿美国来说吧，被誉为自由之都的美国，这次被疫情彻底击垮了，现在的美国早已混乱不堪，几百万人被感染，数十万人死于非命。曾经在电影里面看到的生化危机场景，似乎一点一点在美国上演。一惯骄傲自负的美国，面对这次疫情却显得手足无措，而美国总统特朗普除了甩锅给其他国家，找不到任何能够挽救美国现状的办法。特朗普糟糕的执政能力也让他的选票一路下滑，支持率一天比一天低。还有几个月美国就会举行4年一次的总统大选，而这也将成为决定特朗普接下来命运的最重要时刻。面对疫情如此严重的情况，特朗普丝毫没有要把总统选举延期举行的意思，相反他比谁都迫不及待的想知道最终的结果。截止到目前为止，白宫只发布处一条有关抗议能起到实质性效果的举措，那就是要求民众佩戴口罩，否则会受到严厉处罚。但是很多向往人权的美国人，并不想戴口罩，他们照样聚会，逛街，三五成群的约会等等，最终导致疫情彻底泛滥。美国和远在大洋彼岸的中国，比起来差得可就太远了，因为中国在抗击疫情的举措上不但方法多，而且效果都很显著，现在就连疫苗研究进度都领先美国一大截。据媒体报道称，中国的新冠疫苗之前的临床试验上在体内都产生了抗体，而且几乎无任何不良反应。这样的好消息让美国不得不将注意力再次放在了中国的身上，他们开始又打起我国的坏主意了。美国国务卿蓬佩奥日前在推特上表示，中国应当将新冠疫苗提供给美国，美国应该率先使用这款疫苗。而理由则是美国的疫情是全球最严重的国家，先使用疫苗的资格应该更稳当一些，我们不知道美国到底有多厚脸皮才能提出如此恶心人的要求。对此我国专家表示，我们没有义务替美国收拾烂摊子，想用疫苗自己去研制，或者通过正规手段来获取。想通过威胁或者恐吓的方式，白日做梦。 原图 ,无,2020/7/23 0:28,360安全浏览器,3,0,0,无,"美国,疫苗,疫情,中国,口罩",
