















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit









雌激素,类固醇,天然,环境,污染,活性污泥,反渗透,光降解,微滤,纳滤

沉积物,土壤,阐述,文章,固相中,Fe,Al,Mn,迁移性,形态
蔬菜,含量,北京市,样品,土壤,限量,span,ChDivSummary,污染,菜地
compound,chloro,trihydroxy,hydroxy,methoxyphenethyl,tetrahydro,4H,chromen,isolated,Chinese



















红土,剖面,网纹,甘孜,样品,黄土,风成,成都,粘土,粒度
Plateau,Tibetan,monsoon,BP,southeast,geochemical,loess,paleosol,chemical,weathering

岩漠,沙漠化,若尔盖,hm2,盆地,高原,山丘,生态环境,荒漠,草原
极性,沉积物,格达,安宁河,地层学,高斯,磁性,序列,沉积,载磁

甘孜,风尘,磁性,研究,1.15,aB,青藏高原,周缘,地层学,该区
Chengdu,VRS,cool,Plain,middle,parent,material,red,sections,deposited
红土,网纹,母质,沉积,温凉,成都平原,剖面,第四纪,孢粉,寒凉











叶绿酸,T24,细胞,凋亡,线粒体,流式细胞,抑制率,488nm,cm2,激光
















cells,cutting,elastic,modulus,force,mechanical,properties,differences,cancer,provide





POSS,fluorinated,solvent,analysis,cluster,ligands,thermal,Random,copolymers,methyl
纳米,材料,组装,杂化,POSS,功能化,模板,聚合物,特殊,构筑








晶体,ZnO,生长,发光,光学,水热法,对水,热法,150mm2,X射线












NDV,ZJI,T7,GFP,strain,cDNA,plasmid,pNDV,BSR,cells
毒株,序列,基因,位点,片段,氨基酸,蛋白,接种,分别,测序











10,一氧化氮,4T,糖基化,终产物,白蛋白,修饰,合酶,血清,内皮细胞



教学,实践,实验教学,应用型,毕业论文,立体化,人才培养,创新性,零散,实习






左半肝,供者,供体,肝移植,LDLT,2007,GV,SLV,40%,右半
DREAM,pRNAT,质粒,构建,shRNA,表达,载体,序列,碱基,基因



光催化,介孔,氧化硅,掺杂,光谱,合成,法在,水热,SEM,X射线








酰基,生物降解,润滑油,月桂,矿物,氨基酸,微生物,甘氨酸,脂肪,HVI






























patients,CCL5,RA,serum,SF,disease,levels,activity,treated,DMARDs

FLIP,synovial,expression,JIA,correlation,inflammation,tissue,cells,11,normal








runoff,total,species,heavy,metals,parking,lot,road,TN,storm






























































phase,formed,sintering,material,Y2O3,increase,sialon,method,SiO2,additives





















模型,大鼠,成功率,脑缺血,制作,出血,改进,线栓法,Zea,Longa



锆石,曼光谱,M5,寒武,拉曼,蜕晶化,定年,方位,入射,异常











灾后,食品,理县,食品卫生,重点,卫生,地震,卫生状况,居民,安全意识
丁酯,PC12,邻苯二甲酸,细胞,暴露,丙二醛,DNA,剂量,过氧化物,凋亡
