

























环境,污染,类固醇,性质,研究,存在,相关,光降解,效应,控制

沉积物,土壤,粘土矿,阐述,形态,冶炼,开采,地球化学,生物,化学
蔬菜,含量,北京市,土壤,样品,能力,菜地,污染,采集,限量




















红土,剖面,黄土,样品,环境,甘孜,成都,风成,变化,地区


岩漠,沙漠化,盆地,草原,荒漠,山丘,高原,地貌,调查,分布
沉积物,安宁河,具有,磁性,沉积,序列,地层学,分布,研究,记录

研究,地区,风尘,甘孜,分析,结果,青藏高原,磁性,物质,出现

红土,网纹,沉积,研究,成都平原,母质,形成,孢粉,地层,特征











细胞,线粒体,凋亡,激光,激发,探针,抑制率,处理,动力,聚焦























材料,组装,领域,具有,形态,应用,构筑,模板,功能化,杂化








晶体,生长,光学,有关,可能,综合性,性能,曲线,跃迁,摇摆













序列,基因,毒株,蛋白,位点,接种,指数,绘制,分离,系统











糖基化,终产物,修饰,血清,活性,合酶,内皮细胞,磁场,静脉,培养



实践,教学,整体,平台,改变,系统性,整合,专业,进行,立体化






人间,分析,供者,肝移植,发生,恢复,活体,供体,胆道,临床
构建,序列,表达,基因,细胞,质粒,特异性,研究,结果,转染



材料,掺杂,研究,合成,氧化硅,方法,介孔,弱酸,原位,氮气








润滑油,酰基,矿物,脂肪,数量,形态,过程,表面活性,细胞,有利于






























































































































模型,大鼠,成功率,出血,改进,制作,方法,脑缺血,组织,大脑



锆石,晶化,方位,火山,入射,成因,光束,质谱,发现,晶化度











食品,重点,理县,地震,居民,食品卫生,救灾,防疫,手段,加强
细胞,检测,效应,活性,过氧化物,暴露,生长,乳酸,神经细胞,产生
精液,质量,生活,精子,因素,影响,时间,行为,男性,可能













































纺丝,表面,浓度,电压,纤维,可能,形貌,溶液,机理,成孔

















电动机,发动机,变速器,转矩,测试,自动,输出,工作,电流,方法
控制策略,变速,双模式,性能,基础,公司,羚羊,对象,液力,试验

政府,地方,博弈,经济,移民,利益,基层,不能,中央,农民
旅游,经济,时空,差异,联系,山东省,城市,统计,地区,模型
结果,评价,方法,堤垸,洞庭湖区,差异,投影,进行,寻踪,洪涝
水沙,形态,泥沙,湖盆,淤积,湖泊,改变,特性,解体,水位





径流量,变化,河系,活动,荆南,水文,人类,径流,采用,衰减






















































流感,危重症,治疗,病情,分析,延缓,特点,经验,可见,伴有




喘息,患儿,阳性率,反复,婴幼儿,发生,差异,过敏原,病毒检测,显著性














































































用地,建设,城镇,发展,需求,阶段,利用,预测,规模,城市
改革,退出,宅基地,农村,制度,发展,机制,保障,使用,搬迁
城市化,发展,经济,过程,保护,水资源,地区,城市,利用,发达
城市,规模,转移,县市,作用,极化,省辖市,空间,中等城市,概率
空间,生态,城市,城镇化,建设,评价,发展,边界,敏感性,增长
发展,宏观经济,关联性,分析,市场,时间尺度,相干,开发,部分,宏观调控
空间,住房价格,格局,中心,梯度,基础,研究,城市,北京市,数据
城镇化,推进,发展,问题,经济区,城乡,中原,途径,综合,战略
房价,影响,研究,因素,不能,计量,检验,政策,建设,调控
僵尸,网络,模块,整体,性能,测试,程序,工具,编程技术,利用

隐藏,技术,木马,防火墙,清除,结果表明,结合,攻击,研究,实例



进行,车体,吊装,单元,变压器,模拟,应力,计算,螺栓,使用










天线,优化,电磁,计算,设计,利用,参数,理论,指标,相应













活性,化合物,酰化,抑制率,杀菌,程度,酰胺,合成,文献,类化合物










微球,诱导,疫苗,肝炎,免疫,应答,抗原,情况,抗体,佐剂


















企业,创业,初创,研究,能力,企业动态,方程,结构,发展,具有
模式,领导,中国,领导力,企业家,女性,背景,个体,研究,行为




共同体,实践,学习,层面,提出,组织,团队,构建,途径,强调











企业,战略,进行,中国,研究,能力,强调,成长,演变,环境
企业,服务,核心,能力,模式,构建,研究,案例,转型,过程
营销,变革,企业,空降兵,中国,空降,情况,基本,个人,研究
中国,研究,事项,过程,演变,企业,行为,市场,转型,经济
服务,企业,制造,战略,起源,概念,发展,实践,历程,经济
行业,污名,感知,消费者,维度,样本,基础,形象,运动,修复
合法性,企业,策略,维度,分析,时间,因素,价值,反应时间,利用

企业,社会,经济,提高,资源,拥有,隐性,闲散,使得,收益
企业,服务,战略,制造,悖论,现象,学者,研究,视角,试图
事项,组织,整合,环境,经营,影响,非市场,合法性,问题,企业
















学术,教师,职业,制度,聘任,设计,机构,评议,要求,评价
改革,学术,管理,权力,高校,完善,人事管理,聘任制,职能,行政
研究,关系,院校,认识,实践,处理,学校,工作,动态性,紧迫性
学术,确保,改革,进行,规范,大学,管理,评价,教师,制度
教育,关系,主体,分化,社会,发生,行政化,意味着,市场化,色彩
评估,开展,教育,质量,问题,教学评估,形成,分类,教学,效益
建设,阶段,加强,提高,影响力,学者,社会,发展,经验,交叉
教育,建设,形态,住宿,大学生,素质,漠视,大学,宿舍,职业
权利,运行,权力,高校,公立,制度,有利于,配置,目标,进行
教学,科研,教师,因素,影响,促进作用,制度,关系,结果表明,院系


































机油,品种,光谱,成分,鉴别,样本,进行,可见,技术,方法













































































地方,转让,作为,辖区,政府,地区,民营企业,方式,资源,样本
企业,研究,政治,关联,行为,进行,影响,成为,领域,金融


































系统,稻鱼,增加,生产力,水体,传统,研究,表明,产量,经济
稻田,水稻,影响,稻鱼,蓄水,系统,深度,水深,能够,保证
水稻,沟坑,产量,模式,试验,区域,弥补,效果,边际效应,导致
能力,植物,修复,单株,部分,积累,菖蒲,水烛,美人蕉,差异














表达,增生,大鼠,免疫组化,处理,检测,应用,细胞,研究,溶解








保护,分析,避雷器,雷电,计算,方式,侵入,满足,冲击,接线

系统,谐振,直流,阻抗,输电,长度,影响,线路,回路,得出
操作,冲击,电晕,线路,试验,过电压,导线,影响,设备,断路器


压电,能量,结构,应变,阶梯,输出,装置,回收,分布,采用







































烟叶,指标,特性,烘烤,物理,结构,组织,细胞,素质,空腔












元素,浸出,氧化,影响,活性,典型,结构,群落,过量,形成



































































土壤,生物量,围封,草地,放牧,含量,根系,呼吸,全氮,速率
蒸散,草地,退化,生长,地区,研究,相关,观测,青海省,特征分析
















中国,疾病,具有,生命,发展,医学,药物,人类,基因,差异










杆菌,药物,医院,血流,病原菌,球菌,获得性,感染,进行,替加

















方法,得到,小鼠,血清,溶剂,研究,改进,作用,收率,逆转录酶
环境,治理,地质,矿山,地区,流域,方案,问题,系统,灾害




























辐射,高原,地表,融冻,资料,观测,强度,影响,总体,变化
大气,太阳,江河源,状况,辐射,大气质量,资料,观测,浑浊度,趋势


地面,趋势,土壤,潜热,辐射,系数,感热,地区,方程,增大










介绍,评估,应用,模型,实现,分布,并行,建模,结构,过程
勘探,油气,阶段,海洋,全球,评价,增加,继续,墨西哥湾,引领
全球,埋存,国际,环境,开采,关注,高度,社会,发展,排放量
产能,底井,预测,公式,方法,研究,接近,实际,学者,生产
钻杆,质量,工艺,钻车,结合,机械性能,冶轧,弹性,强化,出现



































































































采用,盐酸,甲素,关附,浓度,药物,吸收,血浆,注射剂,代替
组学,毒性,代谢,技术,探讨,技术手段,中药,前景,软件,发展


肿瘤,细胞,组织,霉酚酸,人肝,肝细胞,表达,代谢,临床,来源

相变,温度,分析,分子,性能,材料,质量,氢键,进行,物理
患者,质量,对照组,生活,功能,症状,情况,进行,移植,病例

































































组织,西地那非,活性,粒细胞,诱导,中性,含量,可能,白细胞,小鼠







































































年龄,钨矿,存在,表明,成矿,等时线,地区,南岭,测定,类型
流体,包裹,骑田岭,芙蓉,矿床,研究,A型,盐度,过程,中分














农业,统计,灾害,工作,分析,问题,认识,改进,意义,传统
模型,状况,利用,估算,温性,混合,草原,变量,分类,草地
苜蓿,品种,区域,气候,适合,种植,生产,具有,位于,亚热带
大气,算法,透过,得到,水汽,含量,辐射率,计算,提出,反演
水体,提取,利用,谱间,关系法,环境监测,灾害,土壤,调查,城市
反演,温度,地表,参数,传输,波段,辐射,传统,获取,方程
监测,生产,畜牧业,牧区,草原,积雪,进行,中国,雪灾,防灾

监测,草原,植被,方法,重点,信息化,问题,集中,管理,平台
关联,方法,得到,样点,光谱法,分层,表达,产量,分区,绿度







进出口,计量,利用,整体,提供,形势,判断,文章,统计数据,经济模型


























软件,设计模式,方法,信息,进行,理解,工程,指导,辅助,程序

分辨,投资,风险,组合,特征,反映,结构,时间尺度,策略,金融市场
容错性,模型,故障,故障诊断,优化,加入,能力,样本,变异,输电线
具有,故障,故障诊断,系统,容错性,优化,能力,提高,样本,畸变
风险,投资,时变,组合,动态,研究,实证,求解,没有,配置

资产,风险,组合,模型,函数,研究,均值,相关,期望,结构

方法,正态,扩散,进行,模型,收益,函数,离散,资产,分布
结构,居民消费,经济,增长,关系,协整,改变,发生,序列,说明


中药,研究,物质基础,导向,发展,表征,标准,组分,突破,模式












发光,电致发光,器件,掺杂,特性,体系,光谱,湿法,发射,出现
全彩,设计,实现,控制,驱动,驱动程序,数据信号,提供,硬件,接口
分离器,倒梯形,反转,时间,制备,因素,阴极,指出,影响,参数

有序,导电,器件,层状,空穴,注入,效率,发生,研究,作为
厚度,器件,结构,缓冲,效率,材料,能量,标准,太阳,电池
厚度,效率,阻挡层,有机,结构,条件,光照,标准,激子,电子
器件,修饰,阴极,颗粒,材料,提高,性能,引入,作为,结构
视频,图像,部分,显示,采集,能够,实现,处理,标准,缓存

















教学,微生物学,医学,课程,实验课,学科,辅助,教学效果,改革,反映
质粒,表达,构建,作用,重组,研究,真核,染色,积累,价值
















催化剂,作出,研究,形成,科学家,受到,特点,回收,利用,热点
杂化,材料,荧光,配合,稀土,表征,组装,分子筛,手段,研究
负载,材料,金属,工业化,基介,催化剂,高活性,可能,利用,特点







冷却,淬火,速度,铝合金,型材,组织,试验,结合,拉伸,不到
































信任,节点,机制,网络,缺乏,匿名,模型,理论,诋毁,使得


系统,锅炉,电站,应用,广义,采用,阶梯式,实现,预测,控制算法























学生,培养,社会,实施,思维能力,创新能力,调动,教学质量,能力,教学资源


多媒体教学,存在,教学,发展,解决,相应,提出,实际,处于,阶段
















































土壤,水稻,麦秸,增加,群体,全量,物质,积累,矿质氮,含量
品种,农艺,性状,演变,早籼稻,产量,趋势,指数,分析表明,收获
群体,产量,结构,灌浆,叶面积,结实,单季,等于,积累,密度
技术,研究,定量,氮素,方法,应用,测定,理论,水稻,总量
水稻,起身,氮肥,土壤,浓度,移栽,根际,利用率,产量,氮素
分蘖,调控,生长,表达,水稻,萌发,含量,外源,细胞分裂,材料
秧苗,增加,单株,密度,分蘖,杂交,籼稻,秧龄,保持,植株
温度,群体,植株,处理,穗肥,穗叶,差异,影响,施量,中肥
技术,促进,增产,水稻,高产,颖花,常规,降低,穗肥,生态区














提取,保存,单头,方法,效果,标本,验证,实验,冻融,酒精
试验,退火,引物,反应,方法,体系,椭圆,设计,温度,得到
聚集,环境,条件,引起,分布,直线,高峰期,得出,江西,回归























锆石,碎屑,大陆,地块,可能,聚合,造山,华夏,东印度,影响





精子,妊娠,冷冻,复苏,临床,胚胎,睾丸,单胎,流产,男婴
临床,阴道,凝胶,疗效,蔗糖,治疗,细菌性,方法,指标,用药





精子,形态,胚胎,百分率,结局,治疗,受精率,分析,年龄,女方
发射,真空,获得,超高,测量,设备,自动,和场,电流,电压









流量,测量,系数,压力,密度,气体,湿气,模型,研究,条件









太平洋,西北,风速,切变,垂直,生成,源地,资料,台风,影响

台风,过程,涡旋,模拟,动能,揭示,水汽,分析,存在,采用
预报,模型,强度,回归,改进,统计,技术,方法,释用,结果




温度,光源,无极,特性,研究,散热,气体,荧光粉,发展,取决于
无极,放电,提高,电压,等离子体,光照度,阻抗,结果表明,电流,浓度

引起,隔离,系统,操作,开关,变压器,计算,分析方法,介绍



控制,优化,驱动,拓扑,死区,模型,电路,分析,参数,镇流器
检测,残留,土壤,方法,液相,色谱,鱼藤酮,样品,采用,符合
电化学,不锈钢,整体,增加,预拉应,变量,强化,应变,条件,行为
苯醚,芦笋,土壤,消解,测定,添加,方法,色谱法,模式,浓度
天然气,应力,管道,发生,油田,管线,国产,研究,运行,腐蚀
涂层,材料,机制,行为,研究,温差,条件,典型,特征,结合
涂层,腐蚀,表面,试验,产物,合金,中性盐,结合,应用,电化学
腐蚀,管线,运行,天然气,油田,速率,影响,运维,中国,过程
腐蚀,涂层,基体,阻抗,浸泡,接地,陕北,材料,电化学,明显降低
流板,螺旋,弓形,换热,管壳,压降,低于,系数,研究,试验




复合,催化剂,沉积,吸附,测试,X射线,物理,产生,活性,降解

河口,改善,水质,水库,富营养化,生态,治理,控制,水体,工程
